"","ReviewID","DestinationID_x","UserID","Rating","ReviewText","Name_x","State","Type","Popularity","BestTimeToVisit","HistoryID","DestinationID_y","VisitDate","ExperienceRating","Name_y","Email","Preferences","Gender","NumberOfAdults","NumberOfChildren"
"0","1","1","1943","5","A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.","Taj Mahal","Uttar Pradesh","Historical","7.6179","Oct-Mar","3726","1242","6/2/2024","4","Aarti1943","aarti1943@gmail.com","Adventure","Female","1","1"
"1","2","1","543","2","A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.","Taj Mahal","Uttar Pradesh","Historical","7.6179","Oct-Mar","3480","1160","11/1/2024","5","Vivek543","vivek543@gmail.com","Beach","Male","3","0"
"2","3","1","1571","5","A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.","Taj Mahal","Uttar Pradesh","Historical","7.6179","Oct-Mar","785","262","20/2/2024","5","Pooja1571","pooja1571@gmail.com","Nature","Female","3","1"
"3","3","1","1571","5","A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.","Taj Mahal","Uttar Pradesh","Historical","7.6179","Oct-Mar","925","309","31/1/2024","3","Pooja1571","pooja1571@gmail.com","Nature","Female","3","1"
"4","3","1","1571","5","A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.","Taj Mahal","Uttar Pradesh","Historical","7.6179","Oct-Mar","1045","349","20/2/2024","3","Pooja1571","pooja1571@gmail.com","Nature","Female","3","1"
"5","3","1","1571","5","A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.","Taj Mahal","Uttar Pradesh","Historical","7.6179","Oct-Mar","1214","405","1/1/2024","3","Pooja1571","pooja1571@gmail.com","Nature","Female","3","1"
"6","3","1","1571","5","A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.","Taj Mahal","Uttar Pradesh","Historical","7.6179","Oct-Mar","1316","439","6/2/2024","5","Pooja1571","pooja1571@gmail.com","Nature","Female","3","1"
"7","3","1","1571","5","A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.","Taj Mahal","Uttar Pradesh","Historical","7.6179","Oct-Mar","1557","519","29/1/2024","3","Pooja1571","pooja1571@gmail.com","Nature","Female","3","1"
"8","3","1","1571","5","A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.","Taj Mahal","Uttar Pradesh","Historical","7.6179","Oct-Mar","2231","744","18/3/2024","4","Pooja1571","pooja1571@gmail.com","Nature","Female","3","1"
"9","3","1","1571","5","A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.","Taj Mahal","Uttar Pradesh","Historical","7.6179","Oct-Mar","4170","1390","29/3/2024","4","Pooja1571","pooja1571@gmail.com","Nature","Female","3","1"
"10","5","2","1309","1","A historical wonder with rich heritage and architecture! Visiting Red Fort was amazing.","Red Fort","Delhi","Historical","9.3525","Oct-Mar","130","44","13/2/2024","3","Vikram1309","vikram1309@gmail.com","Nature","Male","2","0"
